site_code,individual,leaf_number,surface,random_number,angle,length_pixels
knhp,i1,l1,lower,3,0,16.17
knhp,i1,l1,lower,4,-84.56,21.148
knhp,i1,l1,lower,5,3.576,15.865
knhp,i1,l1,upper,1,-53.13,20.734
knhp,i1,l1,upper,2,-7.125,32.622
knhp,i1,l1,upper,3,-33.69,26.073
knhp,i1,l1,upper,4,-8.13,21.213
knhp,i1,l1,upper,5,-2.726,21.054
knhp,i1,l2,lower,1,0,13
knhp,i1,l2,lower,2,-33.69,15.116
knhp,i1,l2,lower,3,39.289,14.407
knhp,i1,l2,lower,4,4.399,13.509
knhp,i1,l2,lower,5,-99.462,12.139
knhp,i1,l2,upper,1,-86.186,30.046
knhp,i1,l2,upper,2,56.976,23.854
knhp,i1,l2,upper,3,2.726,20.524
knhp,i1,l2,upper,4,-45,19.812
knhp,i1,l2,upper,5,-98.531,20.718
knhp,i2,l1,lower,1,75.256,20.131
knhp,i2,l1,lower,2,-42.51,16.055
knhp,i2,l1,lower,3,-20.556,17.208
knhp,i2,l1,lower,4,-36.87,15.538
knhp,i2,l1,lower,5,11.31,15.041
knhp,i2,l1,upper,1,51.34,19.209
knhp,i2,l1,upper,2,-5.44,21.792
knhp,i2,l1,upper,3,93.013,19.737
knhp,i2,l1,upper,4,50.906,20.616
knhp,i2,l1,upper,5,94.97,22.728
knhp,i2,l2,lower,1,-90,11
knhp,i2,l2,lower,2,-11.31,10.525
knhp,i2,l2,lower,3,-57.529,12.903
knhp,i2,l2,lower,4,53.13,10
knhp,i2,l2,lower,5,-41.634,12.021
knhp,i2,l2,upper,1,-45,20.276
knhp,i2,l2,upper,2,-50.194,23.703
knhp,i2,l2,upper,3,30.964,11.927
knhp,i2,l2,upper,4,35.754,30.806
knhp,i2,l2,upper,5,35.838,22.94
knhp,i3,l1,lower,1,0,11.25
knhp,i3,l1,lower,2,-45,10.259
knhp,i3,l1,lower,3,-56.31,14.3
knhp,i3,l1,lower,4,-37.875,11.102
knhp,i3,l1,lower,5,94.399,13.193
knhp,i3,l1,upper,1,7.765,21.708
knhp,i3,l1,upper,2,20.556,17.088
knhp,i3,l1,upper,3,-18.435,24.877
knhp,i3,l1,upper,4,57.265,16.292
knhp,i3,l1,upper,5,7.431,23.195
knhp,i3,l2,lower,1,85.914,13.807
